knt,kntNr,typ,l2004,h2004,lwachstum,hwachstum,flaeche2004,dichte2004,flaechewachstum,dichtehypo
AG,1,1,15.47,2.93,3.72,6.73,238.5,2934,13.82,6731
AI,2,2,2.85,2.29,0.73,1.41,8.1,2293,0.53,1410
AR,3,2,4.72,2.82,0.97,2.58,22.3,2820,0.95,2584
BE,4,2,20.33,2.85,5.06,2.69,411.8,2850,25.47,2686
BL,5,1,9.50,3.52,1.86,6.27,90.2,3521,3.45,6268
BS,6,4,5.13,9.59,0.33,126.52,26.3,9593,0.11,126517
FR,7,2,11.83,2.13,3.92,3.58,138.3,2128,15.16,3582
GE,8,4,9.78,5.63,1.76,19.95,95.5,5635,3.10,19951
GL,9,3,4.47,2.34,1.10,1.90,19.9,2338,1.20,1902
GR,10,3,11.79,1.69,2.93,1.65,138.6,1693,8.55,1649
JU,11,2,7.48,1.50,1.94,1.40,55.7,1498,3.76,1403
LU,12,1,11.98,3.10,3.19,5.03,142.9,3096,10.12,5027
NE,13,2,8.20,3.05,1.74,4.92,67.1,3046,3.03,4916
NW,14,3,3.85,3.28,0.89,3.66,14.8,3276,0.80,3663
OW,15,3,4.33,2.21,1.12,3.40,18.7,2214,1.24,3396
SG,16,2,13.94,2.99,3.26,3.72,193.9,2992,10.60,3716
SH,17,1,5.84,2.68,1.40,3.38,34.0,2685,1.96,3381
SO,18,2,10.47,2.71,2.56,3.02,109.3,2710,6.53,3016
SZ,19,2,7.42,3.05,1.90,5.10,54.9,3047,3.60,5105
TG,20,2,11.06,2.38,2.99,3.97,121.7,2378,8.87,3970
TI,21,3,12.63,2.61,2.49,4.96,159.2,2607,6.19,4963
UR,22,3,4.47,2.08,1.16,1.02,19.9,2077,1.34,1023
VD,23,2,17.38,2.57,4.41,7.29,300.7,2568,19.36,7293
VS,24,3,13.66,1.87,4.01,3.04,185.2,1872,15.95,3043
ZG,25,1,5.76,4.35,1.52,10.05,33.0,4350,2.29,10054
ZH,26,4,19.45,4.35,3.52,18.73,377.9,4354,12.40,18725
kalib,27,1,10,10,0,0,0,0,0,0
